  X          sin(X)         taylorSin(x)
 0.0        0.00000        0.00000E+0000
 0.1        0.09983        9.98333E-0002
 0.2        0.19867        1.98667E-0001
 0.3        0.29552        2.95520E-0001
 0.4        0.38942        3.89419E-0001
 0.5        0.47943        4.79427E-0001
 0.6        0.56464        5.64648E-0001
 0.7        0.64422        6.44218E-0001
 0.8        0.71736        7.17356E-0001
 0.9        0.78333        7.83326E-0001
 1.0        0.84147        8.41468E-0001
 1.1        0.89121        8.91201E-0001
 1.2        0.93204        9.32039E-0001
 1.3        0.96356        9.63559E-0001
 1.4        0.98545        9.85451E-0001
 1.5        0.99749        9.97497E-0001
 1.6        0.99957        9.99578E-0001
 1.7        0.99166        9.91673E-0001
 1.8        0.97385        9.73847E-0001
 1.9        0.94630        9.46299E-0001
 2.0        0.90930        9.09296E-0001
 2.1        0.86321        8.63207E-0001
 2.2        0.80850        8.08492E-0001
 2.3        0.74571        7.45697E-0001
 2.4        0.67546        6.75464E-0001
 2.5        0.59847        5.98473E-0001
 2.6        0.51550        5.15503E-0001
 2.7        0.42738        4.27382E-0001
 2.8        0.33499        3.34992E-0001
 2.9        0.23925        2.39256E-0001
 3.0        0.14112        1.41120E-0001
